(27,4)
(28,4)
(28,4)
(29,4)
(32,1)
(34,1)
(35,3)
(36,3)
(37,3)
(38,3)
(39,3)
(40,3)
(41,3)
(42,3)
(43,3)
(44,2)
(45,2)
(46,2)
(47,2)
(48,2)
(49,2)
(50,2)
(51,2)
(52,3)
(53,3)
(54,3)
(55,3)
(56,3)
(57,1)
(58,2)
(58,2)
(59,2)
(59,2)
(59,2)
(60,3)
(60,3)
(60,3)
(60,3)
(60,3)
(60,3)
(60,3)
(60,3)
(61,1)
(63,1)
(65,1)
(66,2)
(66,1)
(67,5)
(67,5)
(67,5)
(67,5)
(67,5)
(67,5)
(67,5)
(68,1)
(70,1)
(72,1)
(72,1)
(73,1)
(74,1)
(75,1)
(76,1)
(77,1)
(78,1)
(79,1)
(80,1)
(81,1)
(82,1)
(83,1)
(84,1)
(85,1)
(86,1)
(87,1)
(88,1)
(89,1)
(90,1)
(91,1)
(92,1)
(93,2)
(94,2)
(95,2)
(96,3)
(96,3)
(98,3)
(98,3)
(99,3)
(99,3)
(100,3)
(100,3)
(101,3)
(102,2)
(102,2)
(105,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(106,1)
(10,2)
(12,2)
(14,2)
(15,2)
(18,2)
(18,2)
(20,4)
(21,4)
(21,2)
(22,7)
(22,4)
(22,4)
(23,6)
(23,6)
(24,6)
(24,3)
(25,3)
(26,3)
(27,1)
(30,1)
(31,7)
(31,4)
(32,7)
(32,5)
(32,5)
(32,5)
(33,5)
(34,5)
(35,3)
(37,4)
(38,4)
(39,4)
(40,4)
(41,6)
(42,3)
(43,3)
(44,4)
(45,2)
(45,2)
(46,4)
(46,4)
(47,4)
(48,4)
(50,1)
(52,3)
(52,3)
(53,3)
(54,2)
(54,2)
(55,2)
(55,1)
(56,1)
(56,1)
(58,2)
(58,2)
(58,2)
(58,2)
(58,2)
(59,1)
(61,1)
(63,1)
(64,1)
(65,1)
(66,1)
(67,1)
(68,1)
(69,1)
(70,1)
(71,1)
(71,1)
(71,1)
(71,1)
(71,1)
(73,1)
(74,1)
(75,1)
(77,1)
(77,1)
(80,1)
(82,2)
(83,2)
(84,2)
(85,2)
(86,2)
(87,2)
(88,2)
(89,2)
(90,3)
(91,2)
(92,2)
(93,2)
(94,2)
(95,2)
(96,2)
(97,2)
(98,2)
(99,2)
(100,2)
(101,2)
(102,2)
(103,4)
(103,2)
(103,2)
(103,2)
(103,2)
(103,2)
(103,2)
(103,2)
(103,2)
(103,2)
(103,2)
(103,2)
(103,2)
(103,2)
(103,2)
(103,2)
(103,2)
(103,2)
(103,2)
(103,2)
(103,2)
(103,2)
(103,2)
(103,2)
(8,5)
(9,5)
(10,5)
(10,5)
(11,5)
(12,5)
(12,5)
(13,3)
(14,3)
(15,4)
(16,3)
(17,3)
(18,3)
(19,3)
(19,2)
(20,4)
(20,4)
(20,4)
(21,4)
(21,4)
(22,4)
(23,4)
(24,4)
(25,4)
(26,4)
(27,4)
(28,4)
(29,4)
(30,4)
(31,4)
(31,4)
(33,3)
(34,3)
(36,3)
(38,3)
(40,5)
(40,5)
(41,5)
(41,5)
(42,2)
(42,2)
(42,2)
(43,3)
(44,3)
(44,3)
(45,1)
(47,1)
(49,2)
(50,2)
(51,2)
(52,5)
(53,7)
(53,7)
(54,7)
(54,7)
(54,1)
(54,1)
(55,3)
(56,3)
(56,1)
(57,1)
(59,2)
(60,2)
(61,2)
(61,2)
(63,1)
(64,2)
(64,2)
(64,2)
(64,2)
(66,1)
(68,1)
(70,1)
(71,1)
(71,1)
(72,1)
(72,1)
(72,1)
(76,1)
(77,1)
(78,1)
(79,1)
(80,1)
(81,1)
(82,1)
(83,1)
(84,1)
(85,1)
(86,1)
(87,1)
(88,1)
(89,2)
(90,3)
(91,3)
(92,3)
(92,3)
(94,3)
(94,3)
(95,3)
(96,4)
(96,4)
(96,4)
(97,2)
(98,2)
(99,2)
(100,1)
(103,1)
(103,1)
(103,1)
(103,1)
(103,1)
(103,1)
(103,1)
(103,1)
(103,1)
(103,1)
(103,1)
(103,522286)
(103,522286)
(103,522286)
